ID,Surface,Module,Feature,User Story,Expected Behavior,Status,Test Result,Errors Found,Fix Status,Retest Result,Notes
T48,MCP Tool,remotion,render_template_video,"As a creator, I want to render a template video in the cloud so that I get a hosted MP4.","Creates async job, returns job_id/content_history_id/credits_charged; errors on unknown id or bad props.",Documented,Pass (vitest),,N/A,Pending,
T49,MCP Tool,screenshot,capture_app_page,"As a developer, I want to screenshot an app page so that I can verify UI states.","Logs in with test creds, captures full-page PNG to screenshots dir; errors on unknown page, SSRF, browser failure.",Documented,Pass (vitest),,N/A,Pending,
T50,MCP Tool,screenshot,capture_screenshot,"As a developer, I want to screenshot any public URL so that I can capture external pages.","SSRF + DNS-pin protection, returns PNG path; errors on SSRF, invalid output_path, browser failure.",Documented,Pass (vitest),,N/A,Pending,
T51,MCP Tool,analytics,fetch_analytics,"As a marketer, I want post performance metrics so that I can measure results.",Returns totals and per-post breakdown filtered by platform/days/content_id; message if no data.,Documented,Pass (vitest),,N/A,Pending,
T52,MCP Tool,analytics,refresh_platform_analytics,"As a marketer, I want to queue an analytics refresh so that metrics update from platforms.","Queues refresh for last 7 days, returns processed/queued/errored counts; rate-limited.",Documented,Pass (vitest),,N/A,Pending,
T53,MCP Tool,youtube-analytics,fetch_youtube_analytics,"As a YouTuber, I want channel/video analytics so that I can track growth.",Returns metrics per action (channel/daily/video/topVideos); errors if video_id missing for video action.,Documented,Pass (vitest),,N/A,Pending,
T54,MCP Tool,insights,get_performance_insights,"As a marketer, I want aggregated insights so that I can learn what works.","Returns insights array (type, data, confidence, generated_at) with optional type filter.",Documented,Pass (vitest),,N/A,Pending,
T55,MCP Tool,insights,get_best_posting_times,"As a marketer, I want best posting times so that I schedule for engagement.","Returns top 5 slots (day/hour, avg engagement, sample size); message if no data.",Documented,Pass (vitest),,N/A,Pending,
T56,MCP Tool,digest,generate_performance_digest,"As a marketer, I want a performance summary so that I get trends and recommendations.","Returns metrics, trends vs previous period, top/bottom performers, recommendations; no AI/credit cost.",Documented,Pass (vitest),,N/A,Pending,
T57,MCP Tool,digest,detect_anomalies,"As a marketer, I want anomaly detection so that I notice spikes/drops/viral content.","Compares current vs previous period at chosen sensitivity, returns anomalies with suggested actions; message if none.",Documented,Pass (vitest),,N/A,Pending,
T58,MCP Tool,autopilot,list_autopilot_configs,"As an operator, I want to list autopilot configs so that I can review schedules and budgets.",Returns configs with schedule/budgets/last-run/status; message if none.,Documented,Pass (vitest),,N/A,Pending,
T59,MCP Tool,autopilot,create_autopilot_config,"As an operator, I want to create an autopilot config so that the pipeline runs automatically.","Creates config (schedule, budgets, approval mode), returns config; rate-limited.",Documented,Pass (vitest),,N/A,Pending,
T60,MCP Tool,autopilot,update_autopilot_config,"As an operator, I want to update an autopilot config so that I can change schedule/budget/active state.","Updates given fields, returns config; errors if no changes specified; rate-limited.",Documented,Pass (vitest),,N/A,Pending,
T61,MCP Tool,autopilot,get_autopilot_status,"As an operator, I want autopilot status so that I see active configs and recent runs.","Returns activeConfigs, pendingApprovals, recentRuns; handles empty state.",Documented,Pass (vitest),,N/A,Pending,
T62,MCP Tool,recipes,list_recipes,"As a user, I want to list recipe templates so that I can pick a workflow.",Returns recipes with metadata/inputs/steps filtered by category/featured; message if none.,Documented,Pass (vitest),,N/A,Pending,
T63,MCP Tool,recipes,get_recipe_details,"As a user, I want full recipe details so that I know steps and required inputs.",Returns full recipe object; errors if not found (case-sensitive slug).,Documented,Pass (vitest),,N/A,Pending,
T64,MCP Tool,recipes,execute_recipe,"As a user, I want to execute a recipe so that a multi-step workflow runs.","Creates run, returns run_id/status (async); errors on invalid slug or EF failure.",Documented,Pass (vitest),,N/A,Pending,
T65,MCP Tool,recipes,get_recipe_run_status,"As a user, I want recipe run status so that I can track progress and outputs.",Returns run with status/progress/current_step/credits/outputs; errors if run not found.,Documented,Pass (vitest),,N/A,Pending,
T66,MCP Tool,comments,list_comments,"As a YouTuber, I want to list comments so that I can engage with my audience.",Returns comments (with pagination) for a video or recent across channel; message if none.,Documented,Pass (vitest),,N/A,Pending,
T67,MCP Tool,comments,post_comment,"As a YouTuber, I want to post a comment so that I can engage on my videos.","Posts top-level comment, returns id/textDisplay; rate-limited (anti-spam).",Documented,Pass (vitest),,N/A,Pending,
T68,MCP Tool,comments,reply_to_comment,"As a YouTuber, I want to reply to a comment so that I can respond to viewers.","Posts reply to parent_id, returns id/textDisplay; rate-limited.",Documented,Pass (vitest),,N/A,Pending,
T69,MCP Tool,comments,moderate_comment,"As a YouTuber, I want to moderate comments so that I control what is public.","Sets status published/rejected, returns success; rate-limited.",Documented,Pass (vitest),,N/A,Pending,
T70,MCP Tool,comments,delete_comment,"As a YouTuber, I want to delete a comment so that I can remove my own comments.","Deletes owned comment, returns success; rate-limited.",Documented,Pass (vitest),,N/A,Pending,
T71,MCP Tool,credits,get_credit_balance,"As a user, I want to check credit balance so that I can budget operations.","Returns balance, monthlyUsed, monthlyLimit, plan; errors on EF failure.",Documented,Pass (vitest),,N/A,Pending,
T72,MCP Tool,credits,get_budget_status,"As an agent, I want per-session budget consumption so that I avoid overspending in a run.",Returns credits/assets used vs caps this run from in-memory state. No errors.,Documented,Pass (vitest),,N/A,Pending,
T73,MCP Tool,usage,get_mcp_usage,"As a user, I want monthly MCP usage so that I see per-tool call counts and credits.",Returns totalCalls/totalCredits and per-tool breakdown; message if none.,Documented,Pass (vitest),,N/A,Pending,
T74,MCP Tool,discovery,search_tools,"As an agent, I want to search available tools so that I can discover capabilities efficiently.",Returns filtered tools by query/module/scope at chosen detail level; always valid (empty if no match).,Documented,Pass (vitest),,N/A,Pending,
T75,MCP Tool,loop-summary,get_loop_summary,"As a user, I want a one-call dashboard so that I see brand/content/insights and next action.","Returns brandStatus, recentContent, currentInsights, recommendedNextAction; errors if no project.",Documented,Pass (vitest),,N/A,Pending,
C01,CLI,cli/sn,sn publish,"As a CLI user, I want to publish a post so that I can distribute content from the terminal.","Requires --media-url/--caption/--platforms/--confirm; returns idempotency key, scheduled time, per-platform results; exit 1 on error.",Documented,Pass (vitest),,N/A,Pending,
C02,CLI,cli/sn,sn quality-check,"As a CLI user, I want to score content so that I gate quality before publishing.","Returns score/categories/blockers; exit 1 if below threshold, 0 if passes.",Documented,Pass (vitest),,N/A,Pending,
C03,CLI,cli/sn,sn e2e,"As a CLI user, I want end-to-end validate+publish so that preflight, quality, and posting run together.",Runs preflight + quality then publishes if passing; --dry-run/--force bypass; exit 1 if blockers and not forced.,Documented,Pass (vitest),,N/A,Pending,
C04,CLI,cli/sn,sn plan,"As a CLI user, I want to list/view/approve plans so that I manage content plans.",list/view/approve subcommands; missing plan-id errors; unknown subcommand shows usage.,Documented,Pass (vitest),,N/A,Pending,
C05,CLI,cli/sn,sn preset,"As a CLI user, I want to manage presets so that I reuse platform format limits.",list/show/save/delete; saves to user config; cannot overwrite/delete builtins.,Documented,Pass (vitest),,N/A,Pending,
C06,CLI,cli/sn,sn oauth-health,"As a CLI user, I want to check OAuth token health so that I avoid expired connections.",Returns per-platform status/expiry/refresh presence; exit 1 if any inactive/expired/missing refresh.,Documented,Pass (vitest),,N/A,Pending,
C07,CLI,cli/sn,sn oauth-refresh,"As a CLI user, I want to refresh OAuth tokens so that connections stay valid.","Refreshes given/all platforms, returns new expiry; exit 1 if any fails.",Documented,Pass (vitest),,N/A,Pending,
C08,CLI,cli/sn,sn preflight,"As a CLI user, I want to validate account readiness so that I know if I can publish.","Checks privacy/terms URLs, credit caps, OAuth; exit 1 if blocking check fails.",Documented,Pass (vitest),,N/A,Pending,
C09,CLI,cli/sn,sn posts,"As a CLI user, I want to list recent posts so that I review status from the terminal.",Returns posts filtered by days/platform/status; empty message if none.,Documented,Pass (vitest),,N/A,Pending,
C10,CLI,cli/sn,sn refresh-analytics,"As a CLI user, I want to queue analytics refresh so that metrics update.",Returns count of posts queued; throws on EF failure.,Documented,Pass (vitest),,N/A,Pending,
C11,CLI,cli/sn,sn loop,"As a CLI user, I want feedback loop status so that I see brand/content/insights and next action.","Returns hasProfile, recentContent, currentInsights, recommendedNextAction; degrades gracefully.",Documented,Pass (vitest),,N/A,Pending,
C12,CLI,cli/sn,sn status,"As a CLI user, I want to poll job status so that I track async jobs.",Returns job details; exit 1 if job not found.,Documented,Pass (vitest),,N/A,Pending,
C13,CLI,cli/sn,sn autopilot,"As a CLI user, I want autopilot status so that I see configs and approvals.",Returns activeConfigs/pendingApprovals/configs; 0 if none.,Documented,Pass (vitest),,N/A,Pending,
C14,CLI,cli/sn,sn usage,"As a CLI user, I want monthly usage so that I track tool calls and credits.",Returns totals and per-tool breakdown; falls back to activity_logs if RPC unavailable.,Documented,Pass (vitest),,N/A,Pending,
C15,CLI,cli/sn,sn credits,"As a CLI user, I want credit balance so that I budget from the terminal.",Returns balance/monthlyUsed/monthlyLimit/plan; 0 balance if query fails.,Documented,Pass (vitest),,N/A,Pending,
C16,CLI,cli/sn,sn tools,"As a CLI user, I want to discover tools so that I see available MCP capabilities.",Returns tools filtered by scope/module grouped by module; message if none match.,Documented,Pass (vitest),,N/A,Pending,
C17,CLI,cli/sn,sn info,"As a CLI user, I want server info so that I see version/auth/credits.","Returns version, toolCount, modules, auth, creditBalance; omits auth/credits gracefully if offline.",Documented,Pass (vitest),,N/A,Pending,
R01,REST,http,POST /mcp,"As a client, I want to init a session or send JSON-RPC so that I can use MCP over HTTP.",Returns Mcp-Session-Id and JSON-RPC result; 4h TTL/30m idle; 400/403/429/440/401 on respective errors.,Documented,Pass (http.test.ts),,N/A,Pending,
R02,REST,http,GET /mcp,"As a client, I want an SSE stream so that I can long-poll an existing session.",Returns SSE stream with no-buffering header; 400/403/440 on errors.,Documented,Pass (http.test.ts),,N/A,Pending,
R03,REST,http,DELETE /mcp,"As a client, I want to close a session so that I free resources.",Returns 200 session_closed; 400/403 on missing/foreign session.,Documented,Pass (http.test.ts),,N/A,Pending,
R04,REST,http,GET /health,"As an operator, I want a liveness probe so that load balancers can health-check.","Returns 200 {status:ok, version}. No auth.",Documented,Pass (http.test.ts),,N/A,Pending,
R05,REST,http,GET /health/details,"As an operator, I want detailed health so that I see sessions/uptime/memory.",Returns detailed stats; 401 if token invalid.,Documented,Pass (http.test.ts),,N/A,Pending,
R06,REST,http,GET /.well-known/mcp/server-card.json,"As a directory, I want server discovery metadata so that I can list the server.","Returns static server card (info, auth, tools/prompts/resources); cached 1h. No auth.",Documented,Pass (http.test.ts),,N/A,Pending,
R07,REST,http,GET /config,"As a stdio client, I want public connection config so that I can connect in cloud mode.","Returns {supabaseUrl, anonKey}; no secrets; cached 1h. No auth.",Documented,Pass (http.test.ts),,N/A,Pending,
R08,REST,http,OAuth router (/authorize /token /register),"As a client, I want OAuth 2.1 endpoints so that I can authenticate.",Returns auth codes/tokens/registration per spec; OAuth error responses on failure.,Documented,Pass (http.test.ts),,N/A,Pending,
R09,REST,http,GET /.well-known/oauth-protected-resource,"As a client, I want AS metadata so that I can auto-discover OAuth.",Returns protected-resource metadata; 404 if unavailable. No auth.,Documented,Pass (http.test.ts),,N/A,Pending,
RS01,Resource,resources,socialneuron://brand/profile,"As an agent, I want the brand profile resource so that I can read brand voice data.",Returns JSON profile; no_profile status with guidance if missing; error/denied statuses handled. Scope mcp:read.,Documented,Indirect (mcp-e2e registry),,N/A,Pending,
RS02,Resource,resources,socialneuron://account/overview,"As an agent, I want the account overview resource so that I can read plan/credits/connections.",Returns plan/credits/status/links; error/denied statuses handled. Scope mcp:read.,Documented,Indirect (mcp-e2e registry),,N/A,Pending,
RS03,Resource,resources,socialneuron://docs/capabilities,"As an agent, I want capabilities reference so that I know platforms/models/costs.","Returns static JSON (platforms, formats, models, costs, tiers). Public.",Documented,Indirect (mcp-e2e registry),,N/A,Pending,
RS04,Resource,resources,socialneuron://docs/getting-started,"As an agent, I want a quick start guide so that I learn common workflows.",Returns markdown guide. Public.,Documented,Indirect (mcp-e2e registry),,N/A,Pending,
P01,Prompt,prompts,create_weekly_content_plan,"As a user, I want a weekly content plan prompt so that the agent orchestrates planning tools.","Returns user message guiding generate_content/get_brand_profile/insights/best-times/save_content_plan. Params: niche (req), platforms, tone.",Documented,Indirect (mcp-e2e registry),,N/A,Pending,
P02,Prompt,prompts,analyze_top_content,"As a user, I want a top-content analysis prompt so that the agent finds winning patterns.","Returns message guiding fetch_analytics/insights/best-times for top posts and recommendations. Params: timeframe, platform.",Documented,Indirect (mcp-e2e registry),,N/A,Pending,
P03,Prompt,prompts,repurpose_content,"As a user, I want a repurposing prompt so that one source becomes many posts.","Returns message guiding generate_content/get_brand_profile/quality_check across platforms. Params: source (req), target_platforms.",Documented,Indirect (mcp-e2e registry),,N/A,Pending,
P04,Prompt,prompts,setup_brand_voice,"As a user, I want a brand-voice setup prompt so that the agent defines and saves a profile.","Returns message guiding profile definition then save_brand_profile/generate_content. Params: brand_name (req), industry, website.",Documented,Indirect (mcp-e2e registry),,N/A,Pending,
P05,Prompt,prompts,run_content_audit,"As a user, I want a content audit prompt so that the agent produces a prioritized action plan.",Returns message guiding credit/analytics/insights/brand/best-times into an audit report. No params.,Documented,Indirect (mcp-e2e registry),,N/A,Pending,
A01,App,apps/content-calendar,Content Calendar (MCP App),"As a user, I want a visual weekly calendar so that I can view, create, and reschedule posts.","Loads week posts + scopes, week grid, platform filters, drilldown, drag-drop reschedule (write scope), suggest-slot, quick-create modal with validations, accessible toasts.",Documented,Not directly tested (no UI test),,N/A,Pending,Read-only shows upgrade banner without mcp:distribute.
